Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
A0A671VA24,A0A671VA24_SPAAU,Phospholipid-transporting ATPase (EC 7.6.2.1),LOC115577164,Sparus aurata (Gilthead sea bream),1179,GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326,Chordata
A0A671U7T3,A0A671U7T3_SPAAU,Tryptase-like,LOC115574953,Sparus aurata (Gilthead sea bream),278,GO:0004252; GO:0005615,Chordata
A0A6N4PAR9,A0A6N4PAR9_ECOLX,Fructoselysine/psicoselysine transporter,frlA E5P24_08520,Escherichia coli,462,GO:0016021; GO:0022857,Proteobacteria
A0A4C7A9E1,A0A4C7A9E1_ECOLX,Lipopolysaccharide 1;2-glucosyltransferase WaaR,waaR HmCmsJML131_01854,Escherichia coli,223,GO:0008918,Proteobacteria
A0A788QAP6,A0A788QAP6_ECOLX,TPM domain-containing protein,HIE76_000392,Escherichia coli,262,GO:0016021,Proteobacteria
A0A3B4TNU5,A0A3B4TNU5_SERDU,Leucine rich repeats and calponin homology domain containing 3,,Seriola dumerili (Greater amberjack) (Caranx dumerili),715,,Chordata
A0A671YHN1,A0A671YHN1_SPAAU,Endoplasmic reticulum protein 27,erp27,Sparus aurata (Gilthead sea bream),254,,Chordata
E9TEX3,E9TEX3_ECOLX,Nitrate reductase; alpha subunit (EC 1.7.99.4),HMPREF9542_02334,Escherichia coli MS 117-3,1129,GO:0005886; GO:0008940; GO:0009325; GO:0042126; GO:0043546; GO:0046872,Proteobacteria
I6DPI0,I6DPI0_SHIBO,Uncharacterized protein,SB444474_3667,Shigella boydii 4444-74,541,,Proteobacteria
A0A671VI71,A0A671VI71_SPAAU,SH2 domain-containing protein,,Sparus aurata (Gilthead sea bream),603,,Chordata
W1I1T2,W1I1T2_KLEPN,Pseudouridine synthase (EC 5.4.99.-),,Klebsiella pneumoniae IS39,430,GO:0001522; GO:0003723; GO:0005886; GO:0006364; GO:0009982; GO:0016021; GO:0016829; GO:0022857,Proteobacteria
A0A671Y2K0,A0A671Y2K0_SPAAU,WD repeat domain 63,DNAI3,Sparus aurata (Gilthead sea bream),871,,Chordata
A0A671WK40,A0A671WK40_SPAAU,C-X-C motif chemokine,LOC115568248,Sparus aurata (Gilthead sea bream),112,GO:0005615; GO:0006955; GO:0008009,Chordata
A0A671YWE7,A0A671YWE7_SPAAU,E3 ubiquitin-protein ligase RNF220-like,LOC115590956,Sparus aurata (Gilthead sea bream),562,GO:0004842; GO:0046872,Chordata
A0A671YXI0,A0A671YXI0_SPAAU,E3 ubiquitin-protein ligase RNF220-like,LOC115590956,Sparus aurata (Gilthead sea bream),532,GO:0004842; GO:0046872,Chordata
A0A671VWK7,A0A671VWK7_SPAAU,EF-hand and coiled-coil domain containing 1,efcc1,Sparus aurata (Gilthead sea bream),641,GO:0005509,Chordata
V2QLP6,V2QLP6_ECOLX,Deleted.,,,,,
A0A3B1IHU1,A0A3B1IHU1_ASTMX,Reverse transcriptase domain-containing protein,,Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus),388,,Chordata
W1YWB9,W1YWB9_9ZZZZ,VioA,Q604_UNBC00011G0007,human gut metagenome,370,GO:0003824,
A0A0A6ZWK7,A0A0A6ZWK7_SHIDY,ATP-dependent clp protease ATP-binding subunit clpA,Asd1617_03209,Shigella dysenteriae 1617,775,GO:0005524; GO:0008233; GO:0016887; GO:0043335,Proteobacteria
D6J922,D6J922_ECOLX,Probable lipid II flippase MurJ,murJ ECEG_00372,Escherichia coli B354,524,GO:0005887; GO:0008360; GO:0009252; GO:0015648; GO:0071555,Proteobacteria
A0A3Q3NA93,A0A3Q3NA93_9TELE,Pleckstrin homology domain containing; family G (with RhoGef domain) member 2,,Mastacembelus armatus (zig-zag eel),2612,GO:0005085,Chordata
D6I145,D6I145_ECOLX,HTH-type transcriptional activator ttdR,ECCG_02430,Escherichia coli B088,300,GO:0003700,Proteobacteria
J7RBZ5,J7RBZ5_ECOLX,D-allose transporter substrate-binding protein (Putative LACI-type transcriptional regulator),yjcX alsB BN17_40651 D2184_08190 DL545_23050 ELY05_00985 GP698_02700 HVW98_01135 HVX28_21140,Escherichia coli,311,,Proteobacteria
A0A671YPZ1,A0A671YPZ1_SPAAU,Arachidonate 5-lipoxygenase,alox5,Sparus aurata (Gilthead sea bream),669,GO:0005506; GO:0005737; GO:0016702,Chordata
A0A671YMJ2,A0A671YMJ2_SPAAU,Arachidonate 5-lipoxygenase,alox5,Sparus aurata (Gilthead sea bream),676,GO:0005506; GO:0005737; GO:0016702,Chordata
A0A0B2UT46,A0A0B2UT46_TOXCA,H(+)-transporting two-sector ATPase (EC 7.1.2.2),vha-13 Tcan_12848,Toxocara canis (Canine roundworm),615,GO:0005524; GO:0033180; GO:0046933; GO:0046961,Nematoda (roundworms)
A0A671UD40,A0A671UD40_SPAAU,MIER family member 3,mier3,Sparus aurata (Gilthead sea bream),552,GO:0005634,Chordata
A0A656P4R4,A0A656P4R4_9ENTR,Deleted.,,,,,
A0A671Z2K4,A0A671Z2K4_SPAAU,Phosvitin,LOC115591678,Sparus aurata (Gilthead sea bream),1272,GO:0005319; GO:0045735,Chordata
A0A2K6VP33,A0A2K6VP33_ONCVO,60S ribosomal protein L27,,Onchocerca volvulus,136,GO:0003735; GO:0005840; GO:0006412,Nematoda (roundworms)
A0A5Y7Q7Z4,A0A5Y7Q7Z4_SALER,Recombinase family protein (Fragment),FZ253_22745,Salmonella enterica (Salmonella choleraesuis),227,,Proteobacteria
A0A671XTF4,A0A671XTF4_SPAAU,Coiled-coil domain containing 96,ccdc96,Sparus aurata (Gilthead sea bream),472,GO:0005737; GO:0005856,Chordata
A0A671W3R8,A0A671W3R8_SPAAU,Hemicentin 1,,Sparus aurata (Gilthead sea bream),5042,GO:0005509; GO:0005576; GO:0005886; GO:0016021,Chordata
A0A671VZW3,A0A671VZW3_SPAAU,Nucleoporin 210,,Sparus aurata (Gilthead sea bream),1843,GO:0016021,Chordata
A0A6A5DNY5,A0A6A5DNY5_PERFL,E3 ubiquitin-protein ligase (EC 2.3.2.27) (Fragment),PFLUV_G00251980,Perca fluviatilis (European perch),230,GO:0005737; GO:0007219; GO:0046872; GO:0061630,Chordata
A0A671XE65,A0A671XE65_SPAAU,Proteasome subunit beta,LOC115579008,Sparus aurata (Gilthead sea bream),275,GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603,Chordata
W8ZQI6,W8ZQI6_ECOLX,Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)],putA EC958_1211,Escherichia coli O25b:H4-ST131,1342,GO:0003677; GO:0003700; GO:0003842; GO:0004657; GO:0006561; GO:0010133; GO:0016620,Proteobacteria
A0A1D8KW43,A0A1D8KW43_9BILA,Cytochrome b,cytb,Pseudoterranova krabbei,367,GO:0005743; GO:0009055; GO:0016021; GO:0022904; GO:0046872; GO:0070469,Nematoda (roundworms)
A0A6G0IIU7,A0A6G0IIU7_LARCR,ADAMTS-like protein 2,D5F01_LYC11086,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),1201,GO:0005576,Chordata
A0A665TMI0,A0A665TMI0_ECHNA,Regulator of G-protein signaling 21-like,LOC115057369,Echeneis naucrates (Live sharksucker),153,,Chordata
A0A671YRU8,A0A671YRU8_SPAAU,Heterogeneous nuclear ribonucleoprotein A1-like,LOC115575681,Sparus aurata (Gilthead sea bream),149,GO:0003723,Chordata
B7N356,B7N356_ECO81,Tyrosine recombinase/inversion of on/off regulator of fimA,fimE ECED1_5198,Escherichia coli O81 (strain ED1a),198,GO:0003677; GO:0006310; GO:0015074,Proteobacteria
W1YUN5,W1YUN5_9ZZZZ,VioB,Q604_UNBC00011G0008,human gut metagenome,192,,
A0A671V8G3,A0A671V8G3_SPAAU,Chitinase (EC 3.2.1.14),LOC115583106,Sparus aurata (Gilthead sea bream),453,GO:0004568; GO:0005576; GO:0005975; GO:0008061,Chordata
A0A0H2VBM9,A0A0H2VBM9_ECOL6,Uncharacterized protein,c3363,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),475,,Proteobacteria
A0A6J2QU64,A0A6J2QU64_COTGO,LOW QUALITY PROTEIN: tensin-like,LOC115016842,Cottoperca gobio (Frogmouth) (Aphritis gobio),1716,GO:0030054; GO:0035556,Chordata
A0A671X8V0,A0A671X8V0_SPAAU,ADAM metallopeptidase with thrombospondin type 1 motif 5,ADAMTS5,Sparus aurata (Gilthead sea bream),961,GO:0004222; GO:0005576; GO:0008270; GO:0062023,Chordata
A0A4U5VSB4,A0A4U5VSB4_COLLU,Growth factor receptor-bound protein 2,D9C73_026285,Collichthys lucidus (Big head croaker) (Sciaena lucida),298,GO:0005634; GO:0005768; GO:0005794,Chordata
A0A671U1G9,A0A671U1G9_SPAAU,Geminin DNA replication inhibitor,gmnn,Sparus aurata (Gilthead sea bream),232,GO:0005634; GO:0008156; GO:0045786,Chordata
A0A671TJT2,A0A671TJT2_SPAAU,Activating transcription factor 6 beta,atf6b,Sparus aurata (Gilthead sea bream),714,GO:0003700; GO:0005634; GO:0006357; GO:0012505; GO:0030968; GO:0035497,Chordata
A0A778FF75,A0A778FF75_ECOLX,Deleted.,,,,,
A0A656P585,A0A656P585_9ENTR,Deleted.,,,,,
A0A4U5UZ68,A0A4U5UZ68_COLLU,Uncharacterized protein,D9C73_013656,Collichthys lucidus (Big head croaker) (Sciaena lucida),162,,Chordata
A0A671YCG9,A0A671YCG9_SPAAU,Uncharacterized protein,,Sparus aurata (Gilthead sea bream),784,GO:0004965; GO:0005886; GO:0016021,Chordata
A0A6J2PC79,A0A6J2PC79_COTGO,CST complex subunit CTC1,ctc1,Cottoperca gobio (Frogmouth) (Aphritis gobio),1231,GO:0000781; GO:0003697; GO:0005634,Chordata
A0A671Y1J0,A0A671Y1J0_SPAAU,Pleckstrin homology and RUN domain containing M1,plekhm1,Sparus aurata (Gilthead sea bream),1080,GO:0005764; GO:0005768; GO:0006914,Chordata
V0V1F6,V0V1F6_ECOLX,D-tagatose-1;6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1;6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase),kbaY HMPREF1604_03518,Escherichia coli 908519,286,GO:0005975; GO:0008270; GO:0009025; GO:2001059,Proteobacteria
A0A671X3C2,A0A671X3C2_SPAAU,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7-like,ENPP7,Sparus aurata (Gilthead sea bream),482,GO:0003824; GO:0016021,Chordata
S0TP89,S0TP89_9ESCH,Deleted.,,,,,
V0AK29,V0AK29_ECOLX,Molybdopterin synthase sulfurylase MoeB,HMPREF1620_00972,Escherichia coli 909945-2,249,GO:0006777; GO:0008641,Proteobacteria
A0A6G0HIL8,A0A6G0HIL8_LARCR,Endoribonuclease,D5F01_LYC22621,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),526,GO:0004540; GO:0004672; GO:0005524; GO:0006397,Chordata
A0A0K3Z9P7,A0A0K3Z9P7_ECOLX,L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E) (L-xylulose-5-phosphate 3-epimerase),ulaE ERS085386_00969,Escherichia coli,294,GO:0016861; GO:0019854; GO:0034015,Proteobacteria
A0A671TUK8,A0A671TUK8_SPAAU,SLIT-ROBO Rho GTPase-activating protein 3-like,SRGAP3,Sparus aurata (Gilthead sea bream),1088,GO:0007165,Chordata
V0XT08,V0XT08_ECOLX,Gram-negative pili assembly chaperone domain protein,HMPREF1608_02800,Escherichia coli 908525,271,GO:0016021; GO:0030288; GO:0043711; GO:0061077; GO:0071555,Proteobacteria
A0A4U5UN41,A0A4U5UN41_COLLU,Trimethylguanosine synthase,D9C73_009462,Collichthys lucidus (Big head croaker) (Sciaena lucida),8173,GO:0001510; GO:0008168; GO:0009452; GO:0016021; GO:0034993; GO:0051015,Chordata
A0A6G0IJ72,A0A6G0IJ72_LARCR,Putative ferric-chelate reductase 1,D5F01_LYC11088,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),601,GO:0016021; GO:0016491,Chordata
A0A671UQA4,A0A671UQA4_SPAAU,Uncharacterized LOC115574954,LOC115574954,Sparus aurata (Gilthead sea bream),437,,Chordata
A0A484Y9W1,A0A484Y9W1_ECOLX,Metallo-beta-lactamase superfamily protein,NCTC9001_04654,Escherichia coli,466,GO:0018741; GO:0018909; GO:0046983,Proteobacteria
U9ZKJ3,U9ZKJ3_ECOLX,Glycosyltransferase; group 1 family protein,HMPREF1620_04930,Escherichia coli 909945-2,407,GO:0009103; GO:0016757,Proteobacteria
A0A671YXK4,A0A671YXK4_SPAAU,Adhesion G-protein coupled receptor G7-like,LOC115576675,Sparus aurata (Gilthead sea bream),301,GO:0004930; GO:0007166; GO:0016021,Chordata
E6ZG42,E6ZG42_DICLA,Non-specific serine/threonine protein kinase (EC 2.7.11.1),CIT DLA_It05670,Dicentrarchus labrax (European seabass) (Morone labrax),1958,GO:0005524; GO:0035556; GO:0106310; GO:0106311,Chordata
A0A671VBV9,A0A671VBV9_SPAAU,Solute carrier family 25 member 24; like,,Sparus aurata (Gilthead sea bream),445,GO:0005509; GO:0005743; GO:0016021; GO:0055085,Chordata
G0F9Y5,G0F9Y5_ECOLX,Uncharacterized protein yjiC,UMNF18_5389,Escherichia coli UMNF18,276,,Proteobacteria
A0A671YER0,A0A671YER0_SPAAU,Epithelial stromal interaction 1,,Sparus aurata (Gilthead sea bream),402,,Chordata
A0A0M3JQZ3,A0A0M3JQZ3_ANISI,S10_plectin domain-containing protein,ASIM_LOCUS9846,Anisakis simplex (Herring worm),151,GO:0005840,Nematoda (roundworms)
F1KYF3,F1KYF3_ASCSU,Propionyl-CoA carboxylase beta chain,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),321,GO:0016874,Nematoda (roundworms)
A0A3Q1HTV9,A0A3Q1HTV9_ANATE,Deleted.,,,,,
A0A1X3I5V5,A0A1X3I5V5_ECOLX,Regulator of length of O-antigen,EAMG_01950,Escherichia coli M056,338,GO:0005886; GO:0009103; GO:0016021,Proteobacteria
A0A671XNJ9,A0A671XNJ9_SPAAU,DLG associated protein 2,dlgap2,Sparus aurata (Gilthead sea bream),1263,GO:0007270; GO:0045202,Chordata
A0A671XQL3,A0A671XQL3_SPAAU,DLG associated protein 2,dlgap2,Sparus aurata (Gilthead sea bream),1112,GO:0007270; GO:0045202,Chordata
A0A671Z3M8,A0A671Z3M8_SPAAU,HECT-type E3 ubiquitin transferase (EC 2.3.2.26),HECW2,Sparus aurata (Gilthead sea bream),1555,GO:0004842,Chordata
A0A671TZT4,A0A671TZT4_SPAAU,Olfactomedin-like protein 3B,LOC115585527,Sparus aurata (Gilthead sea bream),402,,Chordata
F1KYI4,F1KYI4_ASCSU,ADP-ribosylation factor-related protein 1,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),192,GO:0005525,Nematoda (roundworms)
A0A656P677,A0A656P677_9ENTR,Deleted.,,,,,
A0A671VJ86,A0A671VJ86_SPAAU,Protein zwilch homolog,zwilch,Sparus aurata (Gilthead sea bream),600,GO:0000777; GO:0007049; GO:1990423,Chordata
A0A671Z3E7,A0A671Z3E7_SPAAU,HECT-type E3 ubiquitin transferase (EC 2.3.2.26),wwp1,Sparus aurata (Gilthead sea bream),974,GO:0006511; GO:0061630,Chordata
A0A5J5CKA6,A0A5J5CKA6_9PERO,E3 ubiquitin-protein ligase (EC 2.3.2.26),FQN60_013934,Etheostoma spectabile (orangethroat darter),916,GO:0006511; GO:0061630,Chordata
A0A671YBK0,A0A671YBK0_SPAAU,Uncharacterized protein,,Sparus aurata (Gilthead sea bream),88,,Chordata
A0A671XQX5,A0A671XQX5_SPAAU,G protein-coupled receptor kinase interacting ArfGAP 2b,,Sparus aurata (Gilthead sea bream),742,GO:0005096; GO:0043547; GO:0046872,Chordata
A0A671XQX8,A0A671XQX8_SPAAU,G protein-coupled receptor kinase interacting ArfGAP 2b,,Sparus aurata (Gilthead sea bream),712,GO:0005096; GO:0043547; GO:0046872,Chordata
A0A671XR68,A0A671XR68_SPAAU,G protein-coupled receptor kinase interacting ArfGAP 2b,,Sparus aurata (Gilthead sea bream),699,GO:0005096; GO:0043547; GO:0046872,Chordata
A0A671VG04,A0A671VG04_SPAAU,Venom phosphodiesterase 1-like,LOC115579450,Sparus aurata (Gilthead sea bream),860,GO:0003676; GO:0005576; GO:0016787; GO:0046872,Chordata
A0A671VBK2,A0A671VBK2_SPAAU,Venom phosphodiesterase 1-like,LOC115579450,Sparus aurata (Gilthead sea bream),867,GO:0003676; GO:0005576; GO:0016021; GO:0016787; GO:0046872,Chordata
A0A671XJL1,A0A671XJL1_SPAAU,Prokineticin 2,prok2,Sparus aurata (Gilthead sea bream),135,GO:0005576,Chordata
A0A6A5F2V4,A0A6A5F2V4_PERFL,Uncharacterized protein,PFLUV_G00150840,Perca fluviatilis (European perch),9713,GO:0005886; GO:0016021,Chordata
A0A671VWR6,A0A671VWR6_SPAAU,Non-specific serine/threonine protein kinase (EC 2.7.11.1),,Sparus aurata (Gilthead sea bream),1562,GO:0005262; GO:0005524; GO:0016021; GO:0051262; GO:0106310; GO:0106311,Chordata
A0A656NWC8,A0A656NWC8_9ENTR,Deleted.,,,,,
S1HMJ0,S1HMJ0_ECOLX,Outer membrane autotransporter barrel domain-containing protein,A1WK_01932,Escherichia coli KTE100,882,GO:0019867,Proteobacteria
A0A671WZR8,A0A671WZR8_SPAAU,DDB1- and CUL4-associated factor 1-like,DCAF1,Sparus aurata (Gilthead sea bream),1598,GO:0005634; GO:0016567,Chordata
A0A671Y7Q3,A0A671Y7Q3_SPAAU,DDB1 and CUL4 associated factor 1,DCAF1,Sparus aurata (Gilthead sea bream),1489,GO:0005634; GO:0016567,Chordata
A0A671UQ25,A0A671UQ25_SPAAU,ALMS_motif domain-containing protein,,Sparus aurata (Gilthead sea bream),1859,GO:0005737; GO:0005815,Chordata
A0A671ULE2,A0A671ULE2_SPAAU,ALMS_motif domain-containing protein,,Sparus aurata (Gilthead sea bream),1784,GO:0005737; GO:0005815,Chordata
A0A671UBG9,A0A671UBG9_SPAAU,Clusterin,LOC115573065,Sparus aurata (Gilthead sea bream),464,GO:0005576,Chordata
A0A671TKN1,A0A671TKN1_SPAAU,Espin,,Sparus aurata (Gilthead sea bream),914,GO:0051015; GO:0051017,Chordata
A0A671VWV0,A0A671VWV0_SPAAU,Nascent polypeptide associated complex subunit alpha,naca,Sparus aurata (Gilthead sea bream),499,GO:0005854,Chordata
A0A671VKM9,A0A671VKM9_SPAAU,60S ribosomal protein L8,mrpl2,Sparus aurata (Gilthead sea bream),300,GO:0003735; GO:0005840; GO:0006412,Chordata
A0A671TTA9,A0A671TTA9_SPAAU,Thyrotropin receptor,TSHR,Sparus aurata (Gilthead sea bream),654,GO:0004996; GO:0016021; GO:0016323,Chordata
A0A797VK73,A0A797VK73_ECOLX,GGDEF domain-containing protein (Fragment),HJW28_001323,Escherichia coli,285,GO:0016021,Proteobacteria
A0A671TQB0,A0A671TQB0_SPAAU,Interleukin 16,il16,Sparus aurata (Gilthead sea bream),1590,,Chordata
A0A7J5XNB1,A0A7J5XNB1_DISMA,Uncharacterized protein,F7725_010322,Dissostichus mawsoni (Antarctic cod),462,,Chordata
A0A671TWM6,A0A671TWM6_SPAAU,Fascin,fscn2,Sparus aurata (Gilthead sea bream),490,GO:0005737; GO:0005856; GO:0007015; GO:0030674; GO:0051015,Chordata
A0A794ZN61,A0A794ZN61_ECOLX,MFS transporter,HJN22_004836 HJU02_004823,Escherichia coli,405,GO:0005886; GO:0016021; GO:0022857,Proteobacteria
A0A6C9SRH4,A0A6C9SRH4_ECOLX,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (Fragment),purB GKG31_05030,Escherichia coli,400,GO:0004018; GO:0006189; GO:0044208; GO:0070626,Proteobacteria
A0A671UQF9,A0A671UQF9_SPAAU,Transferrin receptor protein 1,,Sparus aurata (Gilthead sea bream),771,GO:0004998; GO:0005886; GO:0006879; GO:0008235; GO:0016021; GO:0031623; GO:0033572; GO:0042470,Chordata
A0A3Q3Q8V0,A0A3Q3Q8V0_MONAL,Hydroxysteroid 17-beta dehydrogenase 1,,Monopterus albus (Swamp eel),290,GO:0005737; GO:0006703; GO:0008209; GO:0044594; GO:0072582,Chordata
A0A671UJP5,A0A671UJP5_SPAAU,Solute carrier family 22 member 13-like,LOC115578719,Sparus aurata (Gilthead sea bream),542,GO:0016021; GO:0022857,Chordata
A0A6A4SZC7,A0A6A4SZC7_SCOMX,Homeobox domain-containing protein,F2P81_006524,Scophthalmus maximus (Turbot) (Psetta maxima),332,GO:0000981; GO:0003677; GO:0005634; GO:0007275,Chordata
A0A671YH22,A0A671YH22_SPAAU,Sedoheptulokinase,shpk,Sparus aurata (Gilthead sea bream),475,GO:0005975; GO:0050277,Chordata
Q1RE68,Q1RE68_ECOUT,Putrescine transport system permease protein potI,potI UTI89_C0860,Escherichia coli (strain UTI89 / UPEC),295,GO:0005886; GO:0016021; GO:0055085,Proteobacteria
A0A5N5MG28,A0A5N5MG28_PANHP,Integrase catalytic domain-containing protein,PHYPO_G00046600,Pangasianodon hypophthalmus (Striped catfish) (Helicophagus hypophthalmus),245,GO:0015074,Chordata
E1IVN4,E1IVN4_ECOLX,Gram-negative porin,HMPREF9348_04266,Escherichia coli MS 145-7,380,GO:0009279; GO:0015288; GO:0034220; GO:0046930,Proteobacteria
A0A4W6C4S3,A0A4W6C4S3_LATCA,Si:dkey-28e7.3,,Lates calcarifer (Barramundi) (Holocentrus calcarifer),263,GO:0005739; GO:0005769,Chordata
A0A671WQM0,A0A671WQM0_SPAAU,Rho GTPase activating protein 8,ARHGAP8,Sparus aurata (Gilthead sea bream),434,GO:0007165,Chordata
A0A671TU80,A0A671TU80_SPAAU,Organic anion transporter X,,Sparus aurata (Gilthead sea bream),548,GO:0016021; GO:0022857,Chordata
A0A671XBA4,A0A671XBA4_SPAAU,Pre-rRNA-processing protein TSR2 homolog,tsr2,Sparus aurata (Gilthead sea bream),174,GO:0006364,Chordata
A0A3Q3K5G8,A0A3Q3K5G8_MONAL,Zinc finger protein 883-like,,Monopterus albus (Swamp eel),1531,,Chordata
A0A671VQD1,A0A671VQD1_SPAAU,Protein phosphatase 1 regulatory subunit 36,ppp1r36,Sparus aurata (Gilthead sea bream),447,GO:0010923; GO:0019902,Chordata
A0A671YK71,A0A671YK71_SPAAU,Group XIIB secretory phospholipase A2-like protein,LOC115597076,Sparus aurata (Gilthead sea bream),433,,Chordata
A0A671XW53,A0A671XW53_SPAAU,Coiled-coil domain containing 66,ccdc66,Sparus aurata (Gilthead sea bream),870,GO:0005813; GO:0008017,Chordata
A0A671U3Z4,A0A671U3Z4_SPAAU,KIAA1328 ortholog,kiaa1328,Sparus aurata (Gilthead sea bream),598,,Chordata
A0A3Q1GM11,A0A3Q1GM11_9TELE,SAM and SH3 domain containing 1,,Acanthochromis polyacanthus (spiny chromis),1543,,Chordata
A0A671X0U8,A0A671X0U8_SPAAU,SAM and SH3 domain containing 1,sash1,Sparus aurata (Gilthead sea bream),1229,,Chordata
A0A6J2S778,A0A6J2S778_COTGO,SAM and SH3 domain-containing protein 1 isoform X1,sash1,Cottoperca gobio (Frogmouth) (Aphritis gobio),1544,,Chordata
A0A671YCE1,A0A671YCE1_SPAAU,Nucleolar protein 6,nol6,Sparus aurata (Gilthead sea bream),1145,GO:0003723; GO:0005730,Chordata
A0A671YCJ4,A0A671YCJ4_SPAAU,Nucleolar protein 6,nol6,Sparus aurata (Gilthead sea bream),1107,GO:0003723; GO:0005730,Chordata
A0A6P7KEP3,A0A6P7KEP3_9TELE,unconventional myosin-XV-like,LOC114452672,Parambassis ranga (Indian glassy fish),4370,GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0007605; GO:0016459,Chordata
A0A4U5V3D9,A0A4U5V3D9_COLLU,Carcinoembryonic antigen-related cell adhesion molecule 5,D9C73_016406,Collichthys lucidus (Big head croaker) (Sciaena lucida),1520,GO:0005886; GO:0016021,Chordata
A0A671ULA3,A0A671ULA3_SPAAU,Phospholipase B-like (EC 3.1.1.-),,Sparus aurata (Gilthead sea bream),578,GO:0004620; GO:0016042,Chordata
A0A6J2QKX3,A0A6J2QKX3_COTGO,collagen alpha-1(XXII) chain,col22a1,Cottoperca gobio (Frogmouth) (Aphritis gobio),1622,GO:0005581,Chordata
A0A3Q2QSS7,A0A3Q2QSS7_FUNHE,CCHC-type domain-containing protein,,Fundulus heteroclitus (Killifish) (Mummichog),553,GO:0003676; GO:0004190; GO:0008270,Chordata
A0A671UTJ0,A0A671UTJ0_SPAAU,Zinc finger CCHC-type containing 14,zcchc14,Sparus aurata (Gilthead sea bream),1166,GO:0003676; GO:0008270; GO:0035091,Chordata
A0A671YA52,A0A671YA52_SPAAU,Uncharacterized protein,,Sparus aurata (Gilthead sea bream),304,GO:0044666; GO:0048188,Chordata
A0A671UMV1,A0A671UMV1_SPAAU,Meiotic double-stranded break formation protein 1,MEI1,Sparus aurata (Gilthead sea bream),1334,,Chordata
A0A3Q3CST3,A0A3Q3CST3_HAPBU,Adenylate cyclase type 3 (EC 4.6.1.1),,Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni),1097,GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0016021; GO:0035556; GO:0046872,Chordata
A0A6J2P6P8,A0A6J2P6P8_COTGO,Adenylate cyclase (EC 4.6.1.1),LOC115003477,Cottoperca gobio (Frogmouth) (Aphritis gobio),1092,GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0016021; GO:0035556; GO:0046872,Chordata
A0A671W9U1,A0A671W9U1_SPAAU,Vesicle transport protein,,Sparus aurata (Gilthead sea bream),124,GO:0000139; GO:0015031; GO:0016021; GO:0016192,Chordata
A0A671X855,A0A671X855_SPAAU,Aminopeptidase (EC 3.4.11.-),enpep,Sparus aurata (Gilthead sea bream),930,GO:0005886; GO:0008270; GO:0016021; GO:0070006,Chordata
A0A1X3J685,A0A1X3J685_ECOLX,Putative 3-hydroxyphenylpropionic acid transporter,ECXG_03805,Escherichia coli TA447,475,GO:0005886; GO:0016021; GO:0022857,Proteobacteria
A0A6G0IJC3,A0A6G0IJC3_LARCR,Dynein heavy chain 10; axonemal Axonemal beta dynein heavy chain 10 Ciliary dynein heavy chain 10,D5F01_LYC10998,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),4562,GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286,Chordata
A0A4U5UTF7,A0A4U5UTF7_COLLU,UDP-glucuronosyltransferase (EC 2.4.1.17),D9C73_012718,Collichthys lucidus (Big head croaker) (Sciaena lucida),532,GO:0015020; GO:0016021,Chordata
A0A671U414,A0A671U414_SPAAU,UDP-glucuronosyltransferase (EC 2.4.1.17),LOC115582280,Sparus aurata (Gilthead sea bream),532,GO:0015020; GO:0016021,Chordata
A0A671VSD1,A0A671VSD1_SPAAU,Neuronal acetylcholine receptor subunit alpha-3-like,CHRNA6,Sparus aurata (Gilthead sea bream),596,GO:0004888; GO:0016021; GO:0022848; GO:0045211,Chordata
A0A671YBU8,A0A671YBU8_SPAAU,Neuronal acetylcholine receptor subunit alpha-2-like,CHRNA2,Sparus aurata (Gilthead sea bream),536,GO:0004888; GO:0016021; GO:0022848; GO:0045211,Chordata
