Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
Q98UF7,PCX1_TAKRU,Pecanex-like protein 1 (Pecanex homolog protein 1),pcnx1 pcnx pcnxl1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1703,GO:0016021,Chordata
Q9YGN1,SAND_TAKRU,Protein SAND,sand,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),520,GO:0006623; GO:0016192,Chordata
Q18PF5,RHCG1_TAKRU,Ammonium transporter Rh type C 1 (FRhcg1) (Rhesus blood group family type C glycoprotein 1) (RHCG-1) (Rh family type C glycoprotein 1) (Rh type C glycoprotein 1),rhcg1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),485,GO:0005887; GO:0008519; GO:0016324,Chordata
Q1KKT4,LNPA_TAKRU,Endoplasmic reticulum junction formation protein lunapark-A (ER junction formation factor lunapark),lnpka lnpa,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),348,GO:0030176; GO:0042802; GO:0046872; GO:0071788; GO:0098826; GO:1903373,Chordata
Q18PF6,RHBG_TAKRU,Ammonium transporter Rh type B (FRhbg) (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein),rhbg,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),458,GO:0005887; GO:0008519; GO:0016327; GO:0030659,Chordata
P49696,SYVC_TAKRU,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),vars1 vars,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1217,GO:0002161; GO:0004832; GO:0005524; GO:0005737; GO:0006438,Chordata
P79749,PGFRB_TAKRU,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor),pdgfrb,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1048,GO:0005019; GO:0005524; GO:0005886; GO:0006935; GO:0007275; GO:0016021; GO:0031410; GO:0043202,Chordata
Q2XVR6,SC4AB_TAKRU,Sodium channel protein type 4 subunit alpha B (Voltage-gated sodium channel subunit alpha Nav1.4b),scn4ab nav1.4b,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1719,GO:0001518; GO:0005244; GO:0005248; GO:0034765,Chordata
O57593,SURF1_TAKRU,Surfeit locus protein 1 (Fragment),surf1 surf-1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),240,GO:0005743; GO:0016021; GO:0033617,Chordata
O57590,SURF4_TAKRU,Surfeit locus protein 4,surf4,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),269,GO:0005789; GO:0016021,Chordata
Q8UVR8,CSF12_TAKRU,Macrophage colony-stimulating factor 1 receptor 2 (CSF-1-R 2) (EC 2.7.10.1),csf1r2,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1019,GO:0004714; GO:0005524; GO:0005886; GO:0006954; GO:0007169; GO:0016021; GO:0019221; GO:0019955; GO:0045087,Chordata
O93279,A4_TAKRU,Amyloid-beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloid-beta precursor protein) [Cleaved into: Amyloid-beta protein (A-beta) (APP-beta)],app,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),737,GO:0004867; GO:0005798; GO:0007399; GO:0008201; GO:0016021; GO:0046914; GO:0055037,Chordata
P53486,ACTB3_TAKRU,Actin; cytoplasmic 3 (Beta-actin C) [Cleaved into: Actin; cytoplasmic 3; N-terminally processed],actbc,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),375,GO:0005524; GO:0005634; GO:0005737; GO:0005856,Chordata
P79750,CSF11_TAKRU,Macrophage colony-stimulating factor 1 receptor 1 (CSF-1-R 1) (EC 2.7.10.1),csf1r1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),975,GO:0004714; GO:0005524; GO:0005886; GO:0006954; GO:0007169; GO:0016021; GO:0019221; GO:0019955; GO:0045087,Chordata
Q4VSN2,DUSTY_TAKRU,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),dstyk ripk5,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),921,GO:0004712; GO:0004714; GO:0005524; GO:0005737; GO:0016323; GO:0016324; GO:0030054; GO:0048568; GO:0106310; GO:0106311,Chordata
Q9I8E6,COPG2_TAKRU,Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP),copg2,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),873,GO:0000139; GO:0005198; GO:0006886; GO:0016192; GO:0030126,Chordata
Q2KN94,CYTSA_TAKRU,Cytospin-A (SPECC1-like protein) (Sperm antigen with calponin homology and coiled-coil domains 1-like),specc1l cytsa,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1118,GO:0005737; GO:0005819; GO:0005921; GO:0007049; GO:0051301,Chordata
P53480,ACTC_TAKRU,Actin; alpha cardiac muscle (Alpha-cardiac actin) [Cleaved into: Actin; alpha cardiac muscle; intermediate form],,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),377,GO:0005524; GO:0005737; GO:0005856,Chordata
Q9YGM8,CAV1_TAKRU,Caveolin-1,cav1 cav-1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),181,GO:0000139; GO:0005768; GO:0005783; GO:0005901; GO:0031295; GO:0045121; GO:0070836,Chordata
O73723,ARP3_TAKRU,Actin-related protein 3 (Actin-like protein 3),actr3 arp3,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),418,GO:0003779; GO:0005524; GO:0005634; GO:0005737; GO:0005885; GO:0034314; GO:0035861; GO:0042995; GO:0045944,Chordata
P61800,APTX_TAKRU,Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT),aptx,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),356,GO:0003677; GO:0005654; GO:0005730; GO:0006281; GO:0033699; GO:0046872; GO:0120108,Chordata
Q9W6R1,KPB2_TAKRU,Phosphorylase b kinase regulatory subunit alpha; liver isoform (Phosphorylase kinase alpha L subunit),phka2,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1229,GO:0005516; GO:0005886; GO:0005977,Chordata
O57656,GPDA_TAKRU,Glycerol-3-phosphate dehydrogenase [NAD(+)]; cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8),gpd1 lg3p,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),351,GO:0004367; GO:0005975; GO:0009331; GO:0042803; GO:0046168; GO:0051287,Chordata
O73747,FRG1_TAKRU,Protein FRG1,frg1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),255,GO:0003723; GO:0003779; GO:0005730; GO:0006364; GO:0007517; GO:0015030; GO:0030018,Chordata
Q8AXC6,KIT_TAKRU,Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Tyrosine-protein kinase kit),kit,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),984,GO:0004714; GO:0005524; GO:0005886; GO:0016021; GO:0019955; GO:0038093; GO:0038109; GO:0046872,Chordata
P54996,G6PD_TAKRU,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),g6pd,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),530,GO:0004345; GO:0005829; GO:0006006; GO:0006098; GO:0006739; GO:0050661; GO:0051156,Chordata
Q8AV84,BTD_TAKRU,Biotinidase (Biotinase) (EC 3.5.1.12),btd,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),504,GO:0005615; GO:0006807; GO:0047708,Chordata
Q18PD9,DOK7_TAKRU,Protein Dok-7 (Downstream of tyrosine kinase 7),dok7,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),502,GO:0005886; GO:0008289; GO:0019901; GO:0045202; GO:0061098,Chordata
Q90511,EI2BB_TAKRU,Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta),eif2b2 eif2bb,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),355,GO:0003743; GO:0005524; GO:0005525; GO:0005737; GO:0005851; GO:0006413; GO:0007417; GO:0014003; GO:0042552; GO:0050790; GO:0050852,Chordata
P51112,HD_TAKRU,Huntingtin (Huntington disease protein homolog) (HD protein homolog),htt hd,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),3148,GO:0005634; GO:0005737,Chordata
A8QMS7,MYD88_TAKRU,Myeloid differentiation primary response protein MyD88,myd88,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),288,GO:0002755; GO:0005737; GO:0006954; GO:0043123; GO:0045087; GO:0070976,Chordata
Q98902,L1CAM_TAKRU,Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (L1-CAM),l1cam,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1277,GO:0005886; GO:0007155; GO:0016021; GO:0044295; GO:0045773,Chordata
Q1KKR9,LNPB_TAKRU,Endoplasmic reticulum junction formation protein lunapark-B (ER junction formation factor lunapark),lnpkb lnpb,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),358,GO:0030176; GO:0042802; GO:0046872; GO:0071788; GO:0098826; GO:1903373,Chordata
Q1KKZ5,HXABB_TAKRU,Homeobox protein Hox-A11b,hoxa11b,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),284,GO:0000981; GO:0003677; GO:0005634; GO:0007275,Chordata
P70076,HARS1_TAKRU,Histidine--tRNA ligase; cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),hars1 hars hiss,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),519,GO:0004821; GO:0005524; GO:0005737; GO:0006427; GO:0042803,Chordata
Q90YI3,SYMM_TAKRU,Methionine--tRNA ligase; mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS),mars2,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),590,GO:0004825; GO:0005524; GO:0005759; GO:0006431,Chordata
Q6SJ94,TBPL2_TAKRU,TATA box-binding protein-like 2 (TBP-like 2) (TATA box-binding protein-related factor 3) (TBP-related factor 3),tbpl2 tbp2 trf3,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),322,GO:0000976; GO:0003677; GO:0005634; GO:0006352; GO:0009792; GO:0009880; GO:0030097,Chordata
P53451,TCPD_TAKRU,T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta),cct4 cctd,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),536,GO:0001666; GO:0005524; GO:0005737; GO:0006457; GO:0016887; GO:0051082,Chordata
Q5NU14,MKRN1_TAKRU,Probable E3 ubiquitin-protein ligase makorin-1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase makorin-1),mkrn1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),429,GO:0016567; GO:0016740; GO:0046872,Chordata
Q8AXC7,PGFRA_TAKRU,Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor),pdgfra,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1062,GO:0005018; GO:0005524; GO:0005886; GO:0006935; GO:0007275; GO:0016021,Chordata
P49697,EM55_TAKRU,55 kDa erythrocyte membrane protein (p55) (Membrane protein; palmitoylated 1),mpp1,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),467,GO:0016020,Chordata
P83884,RL36A_PIG,60S ribosomal protein L36a (60S ribosomal protein L44),RPL36A RPL44,Sus scrofa (Pig),106,GO:0003735; GO:0006412; GO:0015934; GO:0022625; GO:0098556,Chordata
O77735,SCAM1_PIG,Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1),SCAMP1,Sus scrofa (Pig),338,GO:0005802; GO:0015031; GO:0016021; GO:0032588; GO:0055038,Chordata
Q9TV62,MYH4_PIG,Myosin-4 (Myosin heavy chain 2b) (MyHC-2b) (Myosin heavy chain 4) (Myosin heavy chain; skeletal muscle; fetal),MYH4,Sus scrofa (Pig),1937,GO:0003774; GO:0005516; GO:0005524; GO:0016459; GO:0030016; GO:0032982; GO:0051015,Chordata
Q9GKQ9,SMAD4_PIG,Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (SMAD family member 4) (SMAD 4) (Smad4),SMAD4 MADH4,Sus scrofa (Pig),552,GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001085; GO:0001223; GO:0001228; GO:0001541; GO:0001658; GO:0001666; GO:0001701; GO:0001702; GO:0003148; GO:0003190; GO:0003198; GO:0003220; GO:0003251; GO:0003360; GO:0003682; GO:0005518; GO:0005654; GO:0005813; GO:0005829; GO:0006879; GO:0007179; GO:0007183; GO:0007283; GO:0007338; GO:0007411; GO:0008283; GO:0008285; GO:0009653; GO:0010614; GO:0010718; GO:0010862; GO:0014033; GO:0030154; GO:0030308; GO:0030509; GO:0030511; GO:0030513; GO:0032444; GO:0032525; GO:0032909; GO:0033686; GO:0035556; GO:0036302; GO:0042118; GO:0042733; GO:0042803; GO:0043199; GO:0046872; GO:0046881; GO:0048382; GO:0048589; GO:0048663; GO:0048733; GO:0048859; GO:0051098; GO:0051571; GO:0051797; GO:0060065; GO:0060391; GO:0060395; GO:0060412; GO:0060548; GO:0060956; GO:0061040; GO:0062009; GO:0070102; GO:0070373; GO:0070411; GO:0070412; GO:0071144; GO:0072133; GO:0072134; GO:0072520; GO:1902895; GO:1905305; GO:2000617,Chordata
P63317,TNNC1_PIG,Troponin C; slow skeletal and cardiac muscles (TN-C),TNNC1 TNNC,Sus scrofa (Pig),161,GO:0003009; GO:0005509; GO:0005861; GO:0006937; GO:0048306; GO:0051015,Chordata
Q8MIQ9,P_PIG,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),Oca2 P,Sus scrofa (Pig),845,GO:0016021; GO:0033162; GO:0055085,Chordata
Q9TUZ0,STA5B_PIG,Signal transducer and activator of transcription 5B,STAT5B,Sus scrofa (Pig),787,GO:0001553; GO:0001779; GO:0003677; GO:0003682; GO:0003700; GO:0005634; GO:0005737; GO:0007259; GO:0007565; GO:0007595; GO:0008284; GO:0019218; GO:0019221; GO:0019915; GO:0030155; GO:0030856; GO:0032743; GO:0040018; GO:0042104; GO:0042448; GO:0043029; GO:0043066; GO:0045579; GO:0045647; GO:0045648; GO:0045931; GO:0045944; GO:0046543; GO:0046544; GO:0046983; GO:0050729; GO:0060397; GO:0071363; GO:0071364,Chordata
Q5CD18,TGFR1_PIG,TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I),TGFBR1,Sus scrofa (Pig),503,GO:0001938; GO:0004674; GO:0005025; GO:0005524; GO:0005634; GO:0005768; GO:0005886; GO:0005923; GO:0006468; GO:0006915; GO:0007179; GO:0007399; GO:0007507; GO:0009986; GO:0010468; GO:0010628; GO:0010717; GO:0016020; GO:0016361; GO:0032924; GO:0035556; GO:0040008; GO:0042118; GO:0043235; GO:0045121; GO:0045893; GO:0046332; GO:0046872; GO:0048179; GO:0048185; GO:0048762; GO:0050431; GO:0060317; GO:0071363,Chordata
P53590,SUCB2_PIG,Succinate--CoA ligase [GDP-forming] subunit beta; mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG) (Fragment),SUCLG2,Sus scrofa (Pig),433,GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104; GO:0042709; GO:0046872,Chordata
P16960,RYR1_PIG,Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor),RYR1 CRC,Sus scrofa (Pig),5035,GO:0003151; GO:0005219; GO:0005245; GO:0005262; GO:0005509; GO:0005516; GO:0005524; GO:0005790; GO:0005886; GO:0006936; GO:0014802; GO:0014808; GO:0016529; GO:0030018; GO:0030659; GO:0031301; GO:0033017; GO:0034704; GO:0042383; GO:0043588; GO:0043931; GO:0048741; GO:0048763; GO:0051209; GO:0051289; GO:0070588; GO:0071277; GO:0071313; GO:1990425,Chordata
P10775,RINI_PIG,Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1),RNH1 RI RNH,Sus scrofa (Pig),456,GO:0005737,Chordata
Q06AT3,UCHL5_PIG,Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin thioesterase L5),UCHL5,Sus scrofa (Pig),329,GO:0000502; GO:0004843; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006310; GO:0006511; GO:0016579; GO:0031011; GO:0070628,Chordata
Q2L969,MTX2_PIG,Metaxin-2 (Mitochondrial outer membrane import complex protein 2),MTX2,Sus scrofa (Pig),267,GO:0001401; GO:0005737; GO:0007005; GO:0015031,Chordata
P79384,PCCB_PIG,Propionyl-CoA carboxylase beta chain; mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta),PCCB,Sus scrofa (Pig),539,GO:0004658; GO:0005524; GO:0005759; GO:0019626,Chordata
Q863I2,OXSR1_PIG,Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein),OXSR1 OSR1,Sus scrofa (Pig),529,GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0046777; GO:0106310; GO:0106311,Chordata
M3TYT0,ROCK2_PIG,Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated; coiled-coil-containing protein kinase 2) (Rho-associated; coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2),ROCK2,Sus scrofa (Pig),1388,GO:0000281; GO:0003180; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005856; GO:0005886; GO:0006939; GO:0007266; GO:0010825; GO:0018107; GO:0030866; GO:0031032; GO:0031267; GO:0032956; GO:0042752; GO:0046872; GO:0048511; GO:0048598; GO:0070168; GO:0071560; GO:0072518; GO:0106310; GO:0106311; GO:1900182; GO:1901888,Chordata
Q6QAP7,RS17_PIG,40S ribosomal protein S17,RPS17,Sus scrofa (Pig),135,GO:0003735; GO:0006412; GO:0022627; GO:0045202; GO:0098556,Chordata
Q4U116,S4A4_PIG,Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4),SLC4A4 NBC1 NBCE1,Sus scrofa (Pig),1079,GO:0005452; GO:0005886; GO:0006814; GO:0008510; GO:0015701; GO:0016021; GO:0016323; GO:0022857; GO:0050801; GO:0051453; GO:0055085,Chordata
Q2PKF4,GNAQ_PIG,Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q),GNAQ,Sus scrofa (Pig),359,GO:0001508; GO:0001664; GO:0001750; GO:0003924; GO:0005096; GO:0005525; GO:0005794; GO:0005834; GO:0006469; GO:0007188; GO:0007189; GO:0007213; GO:0007215; GO:0007603; GO:0009649; GO:0016020; GO:0031683; GO:0031826; GO:0031965; GO:0045202; GO:0046872; GO:0050821; GO:0060828,Chordata
P48319,DCE1_PIG,Glutamate decarboxylase 1 (EC 4.1.1.15) (67 kDa glutamic acid decarboxylase) (GAD-67) (Glutamate decarboxylase 67 kDa isoform),GAD1 GAD67,Sus scrofa (Pig),594,GO:0004351; GO:0019752; GO:0030170; GO:0042136,Chordata
A7TX81,CSN6_PIG,COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6),COPS6,Sus scrofa (Pig),323,GO:0000338; GO:0005737; GO:0008180; GO:0008237; GO:0070122,Chordata
Q8HZK3,DUOX1_PIG,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1),DUOX1,Sus scrofa (Pig),1553,GO:0004601; GO:0005509; GO:0005783; GO:0005886; GO:0006590; GO:0006952; GO:0006979; GO:0016175; GO:0016324; GO:0019221; GO:0020037; GO:0042335; GO:0042446; GO:0042554; GO:0042744; GO:0043020; GO:0050665; GO:0051591; GO:0106293; GO:0106294,Chordata
P81140,GCDH_PIG,Glutaryl-CoA dehydrogenase; mitochondrial (GCD) (EC 1.3.8.6) (Fragment),GCDH,Sus scrofa (Pig),408,GO:0000062; GO:0004361; GO:0005759; GO:0006568; GO:0033539; GO:0046949; GO:0050660,Chordata
Q9GKE7,CLCN5_PIG,H(+)/Cl(-) exchange transporter 5 (Chloride channel protein 5) (ClC-5) (Chloride transporter ClC-5),CLCN5,Sus scrofa (Pig),816,GO:0000139; GO:0005247; GO:0005524; GO:0005769; GO:0005794; GO:0005829; GO:0005887; GO:0006821; GO:0006897; GO:0008021; GO:0010008; GO:0015299; GO:0042802; GO:0045177,Chordata
D2WKD8,AT1A2_PIG,Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2),ATP1A2,Sus scrofa (Pig),1020,GO:0005391; GO:0005524; GO:0005886; GO:0006883; GO:0016021; GO:0030007; GO:0036376; GO:0046872; GO:1902600; GO:1990573,Chordata
P11607,AT2A2_PIG,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type; slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase),ATP2A2,Sus scrofa (Pig),1042,GO:0000045; GO:0002026; GO:0005388; GO:0005509; GO:0005524; GO:0006874; GO:0006984; GO:0008553; GO:0010882; GO:0014883; GO:0014898; GO:0016021; GO:0016240; GO:0016887; GO:0019899; GO:0032470; GO:0033017; GO:0033292; GO:0034599; GO:0044325; GO:0044548; GO:0045822; GO:0070296; GO:0070588; GO:0086039; GO:0097470; GO:0140056; GO:1900121; GO:1903233; GO:1903515; GO:1990456,Chordata
Q9GJT2,ESTD_PIG,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D),ESD,Sus scrofa (Pig),282,GO:0005829; GO:0018738; GO:0031410; GO:0042802; GO:0046294; GO:0052689,Chordata
O19064,JAK2_PIG,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),JAK2,Sus scrofa (Pig),1131,GO:0002250; GO:0004713; GO:0004714; GO:0005131; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005856; GO:0005886; GO:0005925; GO:0007165; GO:0007260; GO:0010811; GO:0012505; GO:0019221; GO:0019901; GO:0020037; GO:0030218; GO:0033209; GO:0035401; GO:0035409; GO:0035556; GO:0035722; GO:0042169; GO:0042393; GO:0042531; GO:0042802; GO:0042976; GO:0042981; GO:0045087; GO:0046677; GO:0046777; GO:0046872; GO:0050727; GO:0060391; GO:0060397,Chordata
P46410,GLNA_PIG,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),GLUL GLNS,Sus scrofa (Pig),373,GO:0001525; GO:0004356; GO:0005524; GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0005886; GO:0006542; GO:0010594; GO:0018345; GO:0019706; GO:0046872; GO:1903670,Chordata
P00636,F16P1_PIG,Fructose-1;6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1;6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase),FBP1 FBP,Sus scrofa (Pig),338,GO:0000122; GO:0001085; GO:0005634; GO:0005737; GO:0005829; GO:0005986; GO:0006000; GO:0006002; GO:0006094; GO:0006111; GO:0016208; GO:0016311; GO:0030308; GO:0030388; GO:0035690; GO:0042132; GO:0042802; GO:0045820; GO:0046580; GO:0046872; GO:0048029; GO:0071286,Chordata
Q5XLD3,KCRM_PIG,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM,Sus scrofa (Pig),381,GO:0004111; GO:0005524; GO:0005615; GO:0009408; GO:0016301; GO:0046314,Chordata
P55204,GUC2C_PIG,Heat-stable enterotoxin receptor (STA receptor) (EC 4.6.1.2) (Guanylyl cyclase C) (GC-C) (Intestinal guanylate cyclase),GUCY2C GUC2C,Sus scrofa (Pig),1073,GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005789; GO:0005886; GO:0006182; GO:0007165; GO:0007168; GO:0016021; GO:0016941; GO:0017046; GO:0035556,Chordata
P67937,TPM4_PIG,Tropomyosin alpha-4 chain (Tropomyosin-4),TPM4,Sus scrofa (Pig),248,GO:0005737; GO:0005884; GO:0006936; GO:0007015; GO:0015629; GO:0042802; GO:0042803; GO:0046872; GO:0046982; GO:0051015,Chordata
P47788,THOP1_PIG,Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15),THOP1,Sus scrofa (Pig),687,GO:0004222; GO:0005758; GO:0006508; GO:0006518; GO:0046872,Chordata
P26234,VINC_PIG,Vinculin (Metavinculin),VCL,Sus scrofa (Pig),1135,GO:0002009; GO:0002102; GO:0002162; GO:0005198; GO:0005886; GO:0005903; GO:0005911; GO:0005912; GO:0005915; GO:0005916; GO:0005925; GO:0007155; GO:0030032; GO:0030334; GO:0031625; GO:0032991; GO:0034333; GO:0034394; GO:0042383; GO:0043034; GO:0043297; GO:0045294; GO:0048675; GO:0051015; GO:0051893; GO:0090136; GO:0090636; GO:0090637; GO:1903140; GO:1904702; GO:1990357,Chordata
Q92116,CP1A1_STECH,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1),cyp1a1,Stenotomus chrysops (Scup) (Sparus chrysops),521,GO:0005506; GO:0005789; GO:0020037; GO:0070330,Chordata
Q91437,PYR1_SQUAC,CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],CAD,Squalus acanthias (Spiny dogfish),2242,GO:0004070; GO:0004088; GO:0004151; GO:0005524; GO:0005634; GO:0005737; GO:0006207; GO:0006541; GO:0008270; GO:0016597; GO:0044205,Chordata
P58375,RL30_SPOFR,60S ribosomal protein L30,RpL30,Spodoptera frugiperda (Fall armyworm),113,GO:0003723; GO:0003735; GO:0022625,Arthropoda
Q4QY71,RSSA_SPAAU,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40),rpsa,Sparus aurata (Gilthead sea bream),304,GO:0000028; GO:0003735; GO:0005055; GO:0005634; GO:0005886; GO:0006412; GO:0022627; GO:0043236,Chordata
P29971,SOMA_SPAAU,Somatotropin (Growth hormone),gh,Sparus aurata (Gilthead sea bream),204,GO:0005131; GO:0005179; GO:0005615; GO:0046872,Chordata
P53447,ALDOB_SPAAU,Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase),aldob,Sparus aurata (Gilthead sea bream),364,GO:0004332; GO:0005737; GO:0005815; GO:0006096,Chordata
